Lat,lon,elevation,PercentClear,NE,SE,SW,NW
24.72041667,73.48291667,1173,98,25,23.5,24.9,24.9
24.41708333,72.49958333,1054,98,24.4,23.5,25,25
24.73708333,73.49458333,1063,91,24.2,23.5,18.8,24.4
24.93125,73.49125,1209,98,24.9,23.5,24.9,25
24.94541667,73.49625,1177,93,22.4,23.2,22.5,25
24.94541667,73.49625,1177,93,22.4,23.2,22.5,25
24.31375,73.49375,912,90,22,23.5,23.2,21.2
24.31541667,73.49458333,914,90,22,23.5,23.5,21.3
24.41708333,72.50125,1045,98,24.3,23.5,25,25
24.66291667,73.50041667,1059,94,25,23.5,24.6,20.7
24.96125,73.50291667,1244,97,23.1,23.5,24.9,25
24.96208333,73.50291667,1242,96,22.9,23.5,24.9,25
24.97541667,73.50875,1305,98,25,23.5,24.9,25
24.97958333,73.51125,1268,91,25,23.5,17.8,25
24.46708333,73.52291667,1050,98,25,23.5,25,24
24.99125,73.51791667,1163,90,25,21.7,18.6,25
25.11375,73.51875,1173,90,25,15.7,24.4,25
24.45541667,73.52875,1055,98,25,23.5,25,24.2
24.45541667,73.52875,1055,98,25,23.5,25,24.2
24.46625,73.52375,1052,98,25,23.5,25,24.1
24.48875,73.52791667,1033,93,23.6,21.7,23.7,23.5
24.48875,73.52791667,1033,93,23.6,21.7,23.7,23.5
24.64125,73.53125,1055,96,25,23.5,24.7,22.4
25.12375,73.52708333,1186,92,25,17.7,24.6,25
24.62208333,73.53791667,1037,91,24,21.9,24.5,20.7
24.62208333,73.53791667,1037,91,24,21.9,24.5,20.7
24.63875,73.53375,1058,96,25,23.5,24.7,22.6
24.63875,73.53375,1058,96,25,23.5,24.7,22.6
24.39708333,73.54625,960,90,23,23.5,24.7,18.7
24.40958333,73.54625,1002,96,25,23.5,25,22.4
24.42041667,73.54541667,1000,95,24.7,23.5,25,21.3
24.43041667,73.54458333,1013,94,24.2,23.5,25,21
24.43875,73.54458333,1026,95,25,23.5,25,21.2
24.44041667,73.54458333,1030,95,25,23.5,25,21.4
24.45125,73.54375,1049,98,25,23.5,25,24.1
24.48875,73.54625,1053,98,25,23.5,25,24
24.49041667,73.54625,1058,98,25,23.5,25,24.1
24.51875,73.54458333,1023,94,25,23.4,23,22.8
24.52541667,73.54541667,1021,94,24.9,23.5,23.1,22.7
24.60291667,73.54375,1064,97,25,23.5,24.9,23.4
24.63458333,73.54791667,1065,96,25,23.5,24.8,23.1
24.64458333,73.54791667,1039,91,25,23.3,20.9,21.6
25.03625,73.54375,1155,91,21.6,21.3,23.6,24.5
25.04208333,73.54708333,1171,95,23.8,22.4,23.9,24.9
24.56208333,73.55208333,1035,95,24.5,23.5,24.6,22
24.57208333,73.55208333,1052,97,25,23.5,25,23.2
24.57958333,73.55291667,1056,97,25,23.5,25,23.4
24.58041667,73.55291667,1053,97,25,23.5,25,23.1
24.63458333,73.54791667,1065,96,25,23.5,24.8,23.1
24.64458333,73.54791667,1039,91,25,23.3,20.9,21.6
25.04375,73.54791667,1166,94,23,22.2,23.9,24.9
25.04708333,73.54958333,1170,94,23,22.4,24,24.9
25.05791667,73.55541667,1181,92,19.1,23.1,24.3,25
24.79958333,73.55958333,1088,95,24.1,23.5,24.4,22.5
25.06125,73.55791667,1196,94,20.7,23.4,24.4,25
25.06708333,73.55958333,1233,95,21.9,23.5,24.7,25
25.07625,73.56375,1271,98,25,23.5,24.9,25
24.92375,73.57125,1212,97,25,23.5,24.9,23.2
25.08541667,73.57041667,1267,98,25,23.5,24.9,25
25.08875,73.57208333,1268,98,25,23.5,24.9,25
24.92958333,73.57541667,1190,90,24.9,23.5,19.3,22.1
25.09708333,73.57708333,1198,92,25,23.5,18.2,25
24.95125,73.58958333,1201,96,25,23.5,24.8,22.2
25.02291667,73.58958333,1190,93,25,23.4,23.2,20.9
24.95291667,73.59041667,1210,96,25,23.5,24.9,22.6
24.95541667,73.59291667,1207,96,25,23.5,25,22.5
25.02291667,73.58958333,1190,93,25,23.4,23.2,20.9
25.11541667,73.59041667,1128,90,25,21.5,20.2,23.6
24.82625,73.60625,1061,91,24.7,23.5,24.2,18.5
24.95541667,73.59875,1202,96,25,23.5,25,22.4
24.98208333,73.60541667,1180,93,25,23.5,22.3,21.9
24.98791667,73.60541667,1170,91,25,23.5,21,21.8
24.78708333,73.61375,1059,93,25,23.5,24.4,20.2
24.78708333,73.61375,1059,93,25,23.5,24.4,20.2
24.82625,73.60625,1061,91,24.7,23.5,24.2,18.5
24.98958333,73.60708333,1172,92,25,23.5,21.3,22
24.50458333,73.62541667,1005,92,25,23.5,21.9,21.5
24.50541667,73.62541667,1004,92,25,23.5,21.8,21.4
24.98375,73.61625,1162,91,25,23.5,21.3,21.2
25.09458333,73.62625,1160,91,25,23.5,19.1,23
25.09541667,73.62625,1154,90,25,23.5,18.3,22.9
25.34625,73.67125,948,92,25,21.4,20.4,25
25.14375,73.67625,1183,97,25,23.5,23.6,25
25.14875,73.67791667,1169,93,25,21.8,21,25
25.14375,73.68125,1177,97,25,23.5,23.5,25
25.14541667,73.68458333,1167,93,25,23.5,19.8,25
24.57875,72.69291667,1362,94,20.8,23.5,25,25
25.13958333,73.69791667,1145,90,25,23.5,22.1,19.2
25.16291667,73.69208333,1140,90,25,23.5,16.1,25
24.57625,72.69708333,1366,95,21.2,23.5,25,25
24.58041667,72.69375,1360,94,20.4,23.5,25,25
25.13958333,73.69791667,1145,90,25,23.5,22.1,19.2
24.35375,72.70791667,789,91,19.3,23.2,25,23.8
24.60541667,72.70625,1403,95,21.5,23.5,25,25
24.60625,72.70708333,1411,95,21.6,23.5,25,25
24.62458333,72.72291667,1402,92,18.8,23.5,25,25
25.36375,73.75625,842,90,25,22.5,17.2,25
24.65041667,72.77625,1698,99,25,23.5,25,25
25.36875,73.75875,848,90,25,22.5,17.9,25
25.37291667,73.76125,841,90,25,22.2,17.9,25
24.65041667,72.77625,1698,99,25,23.5,25,25
25.38708333,73.77291667,834,90,25,21.7,18.6,25
25.38708333,73.77291667,834,90,25,21.7,18.6,25
25.39541667,73.77291667,831,90,25,21.2,18.7,25
24.67791667,72.79625,1620,95,25,23.5,21.3,25
25.38708333,73.77291667,834,90,25,21.7,18.6,25
25.39375,73.77708333,842,91,25,21.8,19.4,25
25.39541667,73.77291667,831,90,25,21.2,18.7,25
24.68291667,72.80708333,1619,96,25,23.5,22.8,25
24.68208333,72.80958333,1612,96,25,23.5,22.7,25
24.68541667,72.82125,1574,90,25,23.5,18.6,22.6
25.36875,73.82041667,849,91,25,20.5,20.4,25
25.37125,73.82208333,856,91,25,20.5,20.7,25
25.37208333,73.82291667,846,90,25,19.9,20.5,25
24.36625,72.88625,908,91,25,23.4,25,17.4
24.40208333,72.95125,917,91,25,23.4,25,17.4
24.40375,72.95458333,927,91,25,23.4,25,17.6
25.34041667,73.88125,906,90,19.1,23.5,22.6,24.9
25.46458333,73.88125,942,97,25,23.5,23.9,24.8
25.34541667,73.88958333,933,97,25,23.5,23.1,25
25.34625,73.88875,935,97,25,23.5,23.1,25
25.46458333,73.88125,942,97,25,23.5,23.9,24.8
25.34541667,73.88958333,933,97,25,23.5,23.1,25
25.34541667,73.88958333,933,97,25,23.5,23.1,25
25.35375,73.89375,927,97,25,23.5,23.1,24.9
25.37041667,73.91291667,898,95,25,23.5,22.2,24.6
25.37041667,73.91291667,898,95,25,23.5,22.2,24.6
25.53291667,74.01125,852,96,25,23.5,23.8,23.9
25.54625,74.01041667,865,97,25,23.5,24,24.1
25.55125,74.01791667,823,92,25,23.5,19.1,23.9
